date,lake,funct,model,mgO2_day
8/29/20,MCD,R2,bayes,-0.035803552
8/29/20,MCD,R2,book,-0.522446655
8/29/20,MCD,NEP2,bayes,0.236202201
8/29/20,MCD,NEP2,book,0.44796454
8/29/20,MCD,NEP3,bayes,0.236202201
8/29/20,MCD,NEP3,book,0.44796454
8/29/20,MCD,GPPsd,bayes,0.024234092
8/29/20,MCD,Rsd,bayes,0.024069321
8/29/20,MCD,NEPsd,bayes,0.034155869
8/30/20,MCD,GPP,bayes,0.313034455
8/30/20,MCD,GPP,book,1.023627937
8/30/20,MCD,R,bayes,-0.29159805
8/30/20,MCD,R,book,-0.694621728
8/30/20,MCD,NEP,bayes,0.021436405
8/30/20,MCD,NEP,book,0.020427297
8/30/20,MCD,GPP2,bayes,0.313034455
8/30/20,MCD,GPP2,book,1.023627937
8/30/20,MCD,R2,bayes,-0.29159805
8/30/20,MCD,R2,book,-0.694621728
8/30/20,MCD,NEP2,bayes,0.021436405
8/30/20,MCD,NEP2,book,0.329006209
8/30/20,MCD,NEP3,bayes,0.021436405
8/30/20,MCD,NEP3,book,0.329006209
8/30/20,MCD,GPPsd,bayes,0.020736865
8/30/20,MCD,Rsd,bayes,0.020550359
8/30/20,MCD,NEPsd,bayes,0.029194774
8/31/20,MCD,GPP,bayes,0.033387388
8/31/20,MCD,GPP,book,0.160014125
8/31/20,MCD,R,bayes,0.010297545
8/31/20,MCD,R,book,-0.075641938
8/31/20,MCD,NEP,bayes,0.043684933
