datetime,lake,depth,temp
2020-06-26T21:30:00Z,UPH,0,11.431
2020-06-26T21:30:00Z,UPH,2,7.582
2020-06-26T21:30:00Z,UPH,4,6.064
2020-06-26T21:30:00Z,UPH,8,3.998
2020-06-26T21:30:00Z,UPH,1,11.075
2020-06-26T22:00:00Z,UPH,0,11.139
2020-06-26T22:00:00Z,UPH,2,7.381
2020-06-26T22:00:00Z,UPH,4,6.166
2020-06-26T22:00:00Z,UPH,8,3.893
2020-06-26T22:00:00Z,UPH,1,10.632
2020-06-26T22:30:00Z,UPH,0,11.139
2020-06-26T22:30:00Z,UPH,2,7.882
2020-06-26T22:30:00Z,UPH,4,6.37
2020-06-26T22:30:00Z,UPH,8,3.893
2020-06-26T22:30:00Z,UPH,1,9.904
2020-06-26T23:00:00Z,UPH,0,11.139
2020-06-26T23:00:00Z,UPH,2,7.582
2020-06-26T23:00:00Z,UPH,4,5.757
2020-06-26T23:00:00Z,UPH,8,4.311
2020-06-26T23:00:00Z,UPH,1,9.858
2020-06-26T23:30:00Z,UPH,0,10.846
2020-06-26T23:30:00Z,UPH,2,7.582
2020-06-26T23:30:00Z,UPH,4,5.86
2020-06-26T23:30:00Z,UPH,8,3.893
2020-06-26T23:30:00Z,UPH,1,9.637
2020-06-27T00:00:00Z,UPH,0,10.553
2020-06-27T00:00:00Z,UPH,2,7.682
2020-06-27T00:00:00Z,UPH,4,5.962
2020-06-27T00:00:00Z,UPH,8,3.788
2020-06-27T00:00:00Z,UPH,1,8.879
2020-06-27T00:30:00Z,UPH,0,10.063
