datetime,lake,depth_m,temp_C
2020-07-29T05:00:00Z,MCD,6,13.846
2020-07-29T05:00:00Z,MCD,8,12.787
2020-07-29T05:00:00Z,MCD,1,18.718
2020-07-29T05:30:00Z,MCD,10,10.944
2020-07-29T05:30:00Z,MCD,12,8.581
2020-07-29T05:30:00Z,MCD,2,18.806
2020-07-29T05:30:00Z,MCD,4,15.091
2020-07-29T05:30:00Z,MCD,6,13.75
2020-07-29T05:30:00Z,MCD,8,12.69
2020-07-29T05:30:00Z,MCD,1,18.768
2020-07-29T06:00:00Z,MCD,10,11.041
2020-07-29T06:00:00Z,MCD,12,8.779
2020-07-29T06:00:00Z,MCD,2,18.806
2020-07-29T06:00:00Z,MCD,4,14.9
2020-07-29T06:00:00Z,MCD,6,13.654
2020-07-29T06:00:00Z,MCD,8,12.594
2020-07-29T06:00:00Z,MCD,1,18.768
2020-07-29T06:30:00Z,MCD,10,10.748
2020-07-29T06:30:00Z,MCD,12,8.879
2020-07-29T06:30:00Z,MCD,2,18.901
2020-07-29T06:30:00Z,MCD,4,14.613
2020-07-29T06:30:00Z,MCD,6,13.75
2020-07-29T06:30:00Z,MCD,8,12.594
2020-07-29T06:30:00Z,MCD,1,18.693
2020-07-29T07:00:00Z,MCD,10,11.041
2020-07-29T07:00:00Z,MCD,12,8.481
2020-07-29T07:00:00Z,MCD,2,18.806
2020-07-29T07:00:00Z,MCD,4,14.709
2020-07-29T07:00:00Z,MCD,6,13.654
2020-07-29T07:00:00Z,MCD,8,12.69
2020-07-29T07:00:00Z,MCD,1,18.659
2020-07-29T07:30:00Z,MCD,10,11.139
2020-07-29T07:30:00Z,MCD,12,8.581
2020-07-29T07:30:00Z,MCD,2,18.806
2020-07-29T07:30:00Z,MCD,4,14.804
2020-07-29T07:30:00Z,MCD,6,13.654
2020-07-29T07:30:00Z,MCD,8,12.69
2020-07-29T07:30:00Z,MCD,1,18.626
2020-07-29T08:00:00Z,MCD,10,11.041
2020-07-29T08:00:00Z,MCD,12,8.581
2020-07-29T08:00:00Z,MCD,2,18.711
2020-07-29T08:00:00Z,MCD,4,14.804
2020-07-29T08:00:00Z,MCD,6,13.75
2020-07-29T08:00:00Z,MCD,8,12.69
2020-07-29T08:00:00Z,MCD,1,18.567
2020-07-29T08:30:00Z,MCD,10,11.334
2020-07-29T08:30:00Z,MCD,12,8.481
